0.000,0.000,0.500,-1
0.050,0.060,0.506,-1
0.100,0.121,0.506,-1
0.150,0.183,0.497,-1
0.200,0.245,0.481,-1
0.250,0.306,0.457,-1
0.300,0.364,0.426,-1
0.350,0.419,0.387,-1
0.400,0.469,0.341,-1
0.450,0.515,0.288,-1
0.500,0.554,0.230,-1
0.550,0.587,0.166,-1
0.600,0.612,0.097,-1
0.650,0.630,0.025,-1
0.700,0.638,-0.050,-1
0.750,0.638,-0.127,-1
0.800,0.628,-0.204,-1
0.850,0.608,-0.281,-1
0.900,0.580,-0.355,-1
0.950,0.542,-0.427,-1
1.000,0.495,-0.495,-1
1.050,0.440,-0.558,-1
1.100,0.376,-0.614,-1
1.150,0.306,-0.663,-1
1.200,0.229,-0.704,-1
1.250,0.146,-0.736,-1
1.300,0.060,-0.758,-1
1.350,-0.030,-0.769,-1
1.400,-0.122,-0.770,-1
1.450,-0.214,-0.760,-1
1.500,-0.306,-0.739,-1
1.550,-0.396,-0.707,-1
1.600,-0.482,-0.663,-1
1.650,-0.563,-0.609,-1
1.700,-0.639,-0.546,-1
1.750,-0.707,-0.472,-1
1.800,-0.766,-0.390,-1
1.850,-0.816,-0.301,-1
1.900,-0.856,-0.205,-1
1.950,-0.884,-0.105,-1
2.000,-0.900,0.000,-1
2.050,-0.904,0.107,-1
2.100,-0.895,0.215,-1
2.150,-0.873,0.322,-1
2.200,-0.838,0.427,-1
2.250,-0.790,0.528,-1
2.300,-0.730,0.623,-1
2.350,-0.658,0.712,-1
2.400,-0.576,0.793,-1
2.450,-0.484,0.864,-1
2.500,-0.383,0.924,-1
2.550,-0.274,0.972,-1
2.600,-0.160,1.007,-1
2.650,-0.040,1.029,-1
2.700,0.082,1.037,-1
2.750,0.205,1.030,-1
2.800,0.328,1.008,-1
2.850,0.448,0.972,-1
2.900,0.564,0.921,-1
2.950,0.675,0.856,-1
3.000,0.778,0.778,-1
3.050,0.872,0.687,-1
3.100,0.955,0.585,-1
3.150,1.026,0.473,-1
3.200,1.084,0.352,-1
3.250,1.128,0.224,-1
3.300,1.156,0.091,-1
3.350,1.169,-0.046,-1
3.400,1.165,-0.185,-1
3.450,1.145,-0.323,-1
3.500,1.109,-0.459,-1
3.550,1.056,-0.591,-1
3.600,0.987,-0.717,-1
3.650,0.903,-0.835,-1
3.700,0.805,-0.943,-1
3.750,0.694,-1.039,-1
3.800,0.572,-1.123,-1
3.850,0.440,-1.192,-1
3.900,0.299,-1.245,-1
3.950,0.152,-1.281,-1
4.000,0.000,-1.300,-1
