0.000,-0.500,-2.500,-1.500-1
0.040,-0.453,-2.460,-1.502-1
0.080,-0.406,-2.420,-1.509-1
0.120,-0.361,-2.380,-1.520-1
0.160,-0.316,-2.340,-1.535-1
0.200,-0.273,-2.300,-1.554-1
0.240,-0.232,-2.260,-1.578-1
0.280,-0.194,-2.220,-1.605-1
0.320,-0.158,-2.180,-1.636-1
0.360,-0.125,-2.140,-1.669-1
0.400,-0.095,-2.100,-1.706-1
0.440,-0.070,-2.060,-1.745-1
0.480,-0.048,-2.020,-1.787-1
0.520,-0.030,-1.980,-1.831-1
0.560,-0.016,-1.940,-1.876-1
0.600,-0.006,-1.900,-1.922-1
0.640,-0.001,-1.860,-1.969-1
0.680,-0.000,-1.820,-2.016-1
0.720,-0.004,-1.780,-2.063-1
0.760,-0.012,-1.740,-2.109-1
0.800,-0.024,-1.700,-2.155-1
0.840,-0.041,-1.660,-2.199-1
0.880,-0.062,-1.620,-2.241-1
0.920,-0.086,-1.580,-2.281-1
0.960,-0.115,-1.540,-2.319-1
1.000,-0.146,-1.500,-2.354-1
1.040,-0.181,-1.460,-2.385-1
1.080,-0.219,-1.420,-2.414-1
1.120,-0.259,-1.380,-2.438-1
1.160,-0.301,-1.340,-2.459-1
1.200,-0.345,-1.300,-2.476-1
1.240,-0.391,-1.260,-2.488-1
1.280,-0.437,-1.220,-2.496-1
1.320,-0.484,-1.180,-2.500-1
1.360,-0.531,-1.140,-2.499-1
1.400,-0.578,-1.100,-2.494-1
1.440,-0.624,-1.060,-2.484-1
1.480,-0.669,-1.020,-2.470-1
1.520,-0.713,-0.980,-2.452-1
1.560,-0.755,-0.940,-2.430-1
1.600,-0.794,-0.900,-2.405-1
1.640,-0.831,-0.860,-2.375-1
1.680,-0.864,-0.820,-2.342-1
1.720,-0.895,-0.780,-2.306-1
1.760,-0.922,-0.740,-2.268-1
1.800,-0.946,-0.700,-2.227-1
1.840,-0.965,-0.660,-2.184-1
1.880,-0.980,-0.620,-2.139-1
1.920,-0.991,-0.580,-2.094-1
1.960,-0.998,-0.540,-2.047-1
2.000,-1.000,-0.500,-2.000-1
2.040,-0.998,-0.460,-1.953-1
2.080,-0.991,-0.420,-1.906-1
2.120,-0.980,-0.380,-1.861-1
2.160,-0.965,-0.340,-1.816-1
2.200,-0.946,-0.300,-1.773-1
2.240,-0.922,-0.260,-1.732-1
2.280,-0.895,-0.220,-1.694-1
2.320,-0.864,-0.180,-1.658-1
2.360,-0.831,-0.140,-1.625-1
2.400,-0.794,-0.100,-1.595-1
2.440,-0.755,-0.060,-1.570-1
2.480,-0.713,-0.020,-1.548-1
2.520,-0.669,0.020,-1.530-1
2.560,-0.624,0.060,-1.516-1
2.600,-0.578,0.100,-1.506-1
2.640,-0.531,0.140,-1.501-1
2.680,-0.484,0.180,-1.500-1
2.720,-0.437,0.220,-1.504-1
