0.000,-0.500,-4.000,-1.000-1
0.010,-0.469,-3.990,-1.000-1
0.020,-0.437,-3.980,-1.002-1
0.030,-0.406,-3.970,-1.004-1
0.040,-0.375,-3.960,-1.008-1
0.050,-0.344,-3.950,-1.012-1
0.060,-0.313,-3.940,-1.018-1
0.070,-0.282,-3.930,-1.024-1
0.080,-0.251,-3.920,-1.031-1
0.090,-0.221,-3.910,-1.040-1
0.100,-0.191,-3.900,-1.049-1
0.110,-0.161,-3.890,-1.059-1
0.120,-0.132,-3.880,-1.070-1
0.130,-0.103,-3.870,-1.082-1
0.140,-0.074,-3.860,-1.095-1
0.150,-0.046,-3.850,-1.109-1
0.160,-0.018,-3.840,-1.124-1
0.170,0.009,-3.830,-1.139-1
0.180,0.036,-3.820,-1.156-1
0.190,0.062,-3.810,-1.173-1
0.200,0.088,-3.800,-1.191-1
0.210,0.113,-3.790,-1.210-1
0.220,0.137,-3.780,-1.229-1
0.230,0.161,-3.770,-1.250-1
0.240,0.185,-3.760,-1.271-1
0.250,0.207,-3.750,-1.293-1
0.260,0.229,-3.740,-1.315-1
0.270,0.250,-3.730,-1.339-1
0.280,0.271,-3.720,-1.363-1
0.290,0.290,-3.710,-1.387-1
0.300,0.309,-3.700,-1.412-1
0.310,0.327,-3.690,-1.438-1
0.320,0.344,-3.680,-1.464-1
0.330,0.361,-3.670,-1.491-1
0.340,0.376,-3.660,-1.518-1
0.350,0.391,-3.650,-1.546-1
0.360,0.405,-3.640,-1.574-1
0.370,0.418,-3.630,-1.603-1
0.380,0.430,-3.620,-1.632-1
0.390,0.441,-3.610,-1.661-1
0.400,0.451,-3.600,-1.691-1
0.410,0.460,-3.590,-1.721-1
0.420,0.469,-3.580,-1.751-1
0.430,0.476,-3.570,-1.782-1
0.440,0.482,-3.560,-1.813-1
0.450,0.488,-3.550,-1.844-1
0.460,0.492,-3.540,-1.875-1
0.470,0.496,-3.530,-1.906-1
0.480,0.498,-3.520,-1.937-1
0.490,0.500,-3.510,-1.969-1
0.500,0.500,-3.500,-2.000-1
0.510,0.500,-3.490,-2.031-1
0.520,0.498,-3.480,-2.063-1
0.530,0.496,-3.470,-2.094-1
0.540,0.492,-3.460,-2.125-1
0.550,0.488,-3.450,-2.156-1
0.560,0.482,-3.440,-2.187-1
0.570,0.476,-3.430,-2.218-1
0.580,0.469,-3.420,-2.249-1
0.590,0.460,-3.410,-2.279-1
0.600,0.451,-3.400,-2.309-1
0.610,0.441,-3.390,-2.339-1
0.620,0.430,-3.380,-2.368-1
0.630,0.418,-3.370,-2.397-1
0.640,0.405,-3.360,-2.426-1
0.650,0.391,-3.350,-2.454-1
0.660,0.376,-3.340,-2.482-1
0.670,0.361,-3.330,-2.509-1
0.680,0.344,-3.320,-2.536-1
0.690,0.327,-3.310,-2.562-1
0.700,0.309,-3.300,-2.588-1
0.710,0.290,-3.290,-2.613-1
0.720,0.271,-3.280,-2.637-1
0.730,0.250,-3.270,-2.661-1
0.740,0.229,-3.260,-2.685-1
0.750,0.207,-3.250,-2.707-1
0.760,0.185,-3.240,-2.729-1
0.770,0.161,-3.230,-2.750-1
0.780,0.137,-3.220,-2.771-1
0.790,0.113,-3.210,-2.790-1
0.800,0.088,-3.200,-2.809-1
0.810,0.062,-3.190,-2.827-1
0.820,0.036,-3.180,-2.844-1
0.830,0.009,-3.170,-2.861-1
0.840,-0.018,-3.160,-2.876-1
0.850,-0.046,-3.150,-2.891-1
0.860,-0.074,-3.140,-2.905-1
0.870,-0.103,-3.130,-2.918-1
0.880,-0.132,-3.120,-2.930-1
0.890,-0.161,-3.110,-2.941-1
0.900,-0.191,-3.100,-2.951-1
0.910,-0.221,-3.090,-2.960-1
0.920,-0.251,-3.080,-2.969-1
0.930,-0.282,-3.070,-2.976-1
0.940,-0.313,-3.060,-2.982-1
0.950,-0.344,-3.050,-2.988-1
0.960,-0.375,-3.040,-2.992-1
0.970,-0.406,-3.030,-2.996-1
0.980,-0.437,-3.020,-2.998-1
0.990,-0.469,-3.010,-3.000-1
1.000,-0.500,-3.000,-3.000-1
1.010,-0.531,-2.990,-3.000-1
1.020,-0.563,-2.980,-2.998-1
1.030,-0.594,-2.970,-2.996-1
1.040,-0.625,-2.960,-2.992-1
1.050,-0.656,-2.950,-2.988-1
1.060,-0.687,-2.940,-2.982-1
1.070,-0.718,-2.930,-2.976-1
1.080,-0.749,-2.920,-2.969-1
1.090,-0.779,-2.910,-2.960-1
1.100,-0.809,-2.900,-2.951-1
1.110,-0.839,-2.890,-2.941-1
1.120,-0.868,-2.880,-2.930-1
1.130,-0.897,-2.870,-2.918-1
1.140,-0.926,-2.860,-2.905-1
1.150,-0.954,-2.850,-2.891-1
1.160,-0.982,-2.840,-2.876-1
1.170,-1.009,-2.830,-2.861-1
1.180,-1.036,-2.820,-2.844-1
1.190,-1.062,-2.810,-2.827-1
1.200,-1.088,-2.800,-2.809-1
1.210,-1.113,-2.790,-2.790-1
1.220,-1.137,-2.780,-2.771-1
1.230,-1.161,-2.770,-2.750-1
1.240,-1.185,-2.760,-2.729-1
1.250,-1.207,-2.750,-2.707-1
1.260,-1.229,-2.740,-2.685-1
1.270,-1.250,-2.730,-2.661-1
1.280,-1.271,-2.720,-2.637-1
1.290,-1.290,-2.710,-2.613-1
1.300,-1.309,-2.700,-2.588-1
1.310,-1.327,-2.690,-2.562-1
1.320,-1.344,-2.680,-2.536-1
1.330,-1.361,-2.670,-2.509-1
1.340,-1.376,-2.660,-2.482-1
1.350,-1.391,-2.650,-2.454-1
1.360,-1.405,-2.640,-2.426-1
1.370,-1.418,-2.630,-2.397-1
1.380,-1.430,-2.620,-2.368-1
1.390,-1.441,-2.610,-2.339-1
1.400,-1.451,-2.600,-2.309-1
1.410,-1.460,-2.590,-2.279-1
1.420,-1.469,-2.580,-2.249-1
1.430,-1.476,-2.570,-2.218-1
1.440,-1.482,-2.560,-2.187-1
1.450,-1.488,-2.550,-2.156-1
1.460,-1.492,-2.540,-2.125-1
1.470,-1.496,-2.530,-2.094-1
1.480,-1.498,-2.520,-2.063-1
1.490,-1.500,-2.510,-2.031-1
1.500,-1.500,-2.500,-2.000-1
1.510,-1.500,-2.490,-1.969-1
1.520,-1.498,-2.480,-1.937-1
1.530,-1.496,-2.470,-1.906-1
1.540,-1.492,-2.460,-1.875-1
1.550,-1.488,-2.450,-1.844-1
1.560,-1.482,-2.440,-1.813-1
1.570,-1.476,-2.430,-1.782-1
1.580,-1.469,-2.420,-1.751-1
1.590,-1.460,-2.410,-1.721-1
1.600,-1.451,-2.400,-1.691-1
1.610,-1.441,-2.390,-1.661-1
1.620,-1.430,-2.380,-1.632-1
1.630,-1.418,-2.370,-1.603-1
1.640,-1.405,-2.360,-1.574-1
1.650,-1.391,-2.350,-1.546-1
1.660,-1.376,-2.340,-1.518-1
1.670,-1.361,-2.330,-1.491-1
1.680,-1.344,-2.320,-1.464-1
1.690,-1.327,-2.310,-1.438-1
1.700,-1.309,-2.300,-1.412-1
1.710,-1.290,-2.290,-1.387-1
1.720,-1.271,-2.280,-1.363-1
1.730,-1.250,-2.270,-1.339-1
1.740,-1.229,-2.260,-1.315-1
1.750,-1.207,-2.250,-1.293-1
1.760,-1.185,-2.240,-1.271-1
1.770,-1.161,-2.230,-1.250-1
1.780,-1.137,-2.220,-1.229-1
1.790,-1.113,-2.210,-1.210-1
1.800,-1.088,-2.200,-1.191-1
1.810,-1.062,-2.190,-1.173-1
1.820,-1.036,-2.180,-1.156-1
1.830,-1.009,-2.170,-1.139-1
1.840,-0.982,-2.160,-1.124-1
1.850,-0.954,-2.150,-1.109-1
1.860,-0.926,-2.140,-1.095-1
1.870,-0.897,-2.130,-1.082-1
1.880,-0.868,-2.120,-1.070-1
1.890,-0.839,-2.110,-1.059-1
1.900,-0.809,-2.100,-1.049-1
1.910,-0.779,-2.090,-1.040-1
1.920,-0.749,-2.080,-1.031-1
1.930,-0.718,-2.070,-1.024-1
1.940,-0.687,-2.060,-1.018-1
1.950,-0.656,-2.050,-1.012-1
1.960,-0.625,-2.040,-1.008-1
1.970,-0.594,-2.030,-1.004-1
1.980,-0.563,-2.020,-1.002-1
1.990,-0.531,-2.010,-1.000-1
2.000,-0.500,-2.000,-1.000-1
2.010,-0.469,-1.990,-1.000-1
2.020,-0.437,-1.980,-1.002-1
2.030,-0.406,-1.970,-1.004-1
2.040,-0.375,-1.960,-1.008-1
2.050,-0.344,-1.950,-1.012-1
2.060,-0.313,-1.940,-1.018-1
2.070,-0.282,-1.930,-1.024-1
2.080,-0.251,-1.920,-1.031-1
2.090,-0.221,-1.910,-1.040-1
2.100,-0.191,-1.900,-1.049-1
2.110,-0.161,-1.890,-1.059-1
2.120,-0.132,-1.880,-1.070-1
2.130,-0.103,-1.870,-1.082-1
2.140,-0.074,-1.860,-1.095-1
2.150,-0.046,-1.850,-1.109-1
2.160,-0.018,-1.840,-1.124-1
2.170,0.009,-1.830,-1.139-1
2.180,0.036,-1.820,-1.156-1
2.190,0.062,-1.810,-1.173-1
2.200,0.088,-1.800,-1.191-1
2.210,0.113,-1.790,-1.210-1
2.220,0.137,-1.780,-1.229-1
2.230,0.161,-1.770,-1.250-1
2.240,0.185,-1.760,-1.271-1
2.250,0.207,-1.750,-1.293-1
2.260,0.229,-1.740,-1.315-1
2.270,0.250,-1.730,-1.339-1
2.280,0.271,-1.720,-1.363-1
